budget,movie_id,original_title,release_date,revenue,title,vote_average,vote_count,genre,return
0.0,37557,摇啊摇，摇到外婆桥,1995-04-30,0.0,Shanghai Triad,6.5,17.0,Drama,0.0
0.0,9909,Dangerous Minds,1995-08-11,180000000.0,Dangerous Minds,6.4,249.0,Drama,0.0
29500000.0,63,Twelve Monkeys,1995-12-29,168840000.0,Twelve Monkeys,7.4,2470.0,Science Fiction,5.7233898305084745
0.0,78802,"Guillaumet, les ailes du courage",1996-09-18,0.0,Wings of Courage,6.8,4.0,Romance,0.0
30000000.0,9598,Babe,1995-07-18,254134910.0,Babe,6.0,756.0,Fantasy,8.471163666666667
0.0,47018,Carrington,1995-11-08,0.0,Carrington,6.4,16.0,History,0.0
11000000.0,687,Dead Man Walking,1995-12-29,39363635.0,Dead Man Walking,7.3,350.0,Drama,3.5785122727272727
0.0,139405,Across the Sea of Time,1995-10-20,0.0,Across the Sea of Time,3.5,2.0,Adventure,0.0
0.0,33689,It Takes Two,1995-11-17,0.0,It Takes Two,6.1,149.0,Comedy,0.0
12000000.0,9603,Clueless,1995-07-19,0.0,Clueless,6.9,828.0,Comedy,0.0
0.0,34615,"Cry, the Beloved Country",1995-12-15,676525.0,"Cry, the Beloved Country",6.7,13.0,Drama,0.0
0.0,31174,Richard III,1995-12-29,0.0,Richard III,6.9,50.0,Drama,0.0
10000000.0,11443,Dead Presidents,1995-10-06,0.0,Dead Presidents,6.6,80.0,Action,0.0
19000000.0,35196,Restoration,1995-12-29,0.0,Restoration,6.3,30.0,Drama,0.0
18000000.0,9312,Mortal Kombat,1995-08-18,122195920.0,Mortal Kombat,5.4,452.0,Action,6.788662222222222
20000000.0,577,To Die For,1995-05-20,21284514.0,To Die For,6.7,177.0,Fantasy,1.0642257
10000000.0,11861,How To Make An American Quilt,1995-10-06,23574130.0,How To Make An American Quilt,6.5,38.0,Drama,2.357413
33000000.0,807,Se7en,1995-09-22,327311859.0,Se7en,8.1,5915.0,Crime,9.918541181818181
55000000.0,10530,Pocahontas,1995-06-14,346079773.0,Pocahontas,6.7,1509.0,Adventure,6.292359509090909
0.0,8391,When Night Is Falling,1995-05-05,0.0,When Night Is Falling,5.9,10.0,Drama,0.0
6000000.0,629,The Usual Suspects,1995-07-19,23341568.0,The Usual Suspects,8.1,3334.0,Drama,3.890261333333333
0.0,117164,Guardian Angel,1994-11-22,0.0,Guardian Angel,6.3,3.0,Action,0.0
15000000.0,11448,Mighty Aphrodite,1995-09-13,6700000.0,Mighty Aphrodite,6.7,145.0,Comedy,0.44666666666666666
0.0,49133,Lamerica,1994-01-01,0.0,Lamerica,7.7,11.0,Drama,0.0
0.0,26441,The Big Green,1995-09-29,0.0,The Big Green,5.2,41.0,Action,0.0
0.0,97406,Georgia,1995-05-19,0.0,Georgia,6.1,15.0,Drama,0.0
0.0,124057,Kids of the Round Table,1997-07-08,0.0,Kids of the Round Table,3.0,1.0,Not available,0.0
0.0,9089,Home for the Holidays,1995-11-02,17519169.0,Home for the Holidays,6.3,39.0,Comedy,0.0
0.0,11010,Il postino,1994-09-22,0.0,The Postman,7.6,181.0,Comedy,0.0
0.0,99040,Le confessionnal,1995-09-29,0.0,The Confessional,6.5,2.0,Thriller,0.0
45000000.0,11359,The Indian in the Cupboard,1995-07-14,0.0,The Indian in the Cupboard,5.9,136.0,Adventure,0.0
20000000.0,17182,Eye for an Eye,1996-01-12,0.0,Eye for an Eye,5.8,65.0,Drama,0.0
0.0,2054,Mr. Holland's Opus,1995-12-29,106269971.0,Mr. Holland's Opus,6.9,115.0,Music,0.0
0.0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,Comedy,0.0
0.0,19760,Two If by Sea,1996-01-12,0.0,Two If by Sea,4.5,14.0,Comedy,0.0
15000000.0,9536,Bio-Dome,1996-01-12,0.0,Bio-Dome,4.4,110.0,Comedy,0.0
0.0,11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,2409225.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,Action,0.0
0.0,40628,Two Bits,1995-10-22,0.0,Two Bits,5.4,11.0,Drama,0.0
0.0,4482,Gazon maudit,1995-02-08,0.0,French Twist,6.0,43.0,Comedy,0.0
3500000.0,10634,Friday,1995-04-26,28215918.0,Friday,7.0,513.0,Comedy,8.061690857142857
19000000.0,755,From Dusk Till Dawn,1996-01-19,25836616.0,From Dusk Till Dawn,6.9,1644.0,Horror,1.3598218947368421
50000000.0,11859,Fair Game,1995-11-03,11534477.0,Fair Game,4.1,54.0,Action,0.23068954
0.0,28387,Kicking and Screaming,1995-10-06,718490.0,Kicking and Screaming,7.0,36.0,Comedy,0.0
0.0,48750,Les misérables,1995-03-22,0.0,Les Miserables,6.6,8.0,Drama,0.0
0.0,20927,Bed of Roses,1996-01-26,19030691.0,Bed of Roses,5.1,27.0,Drama,0.0
15000000.0,36929,Big Bully,1996-01-26,2042530.0,Big Bully,3.9,16.0,Comedy,0.13616866666666666
20000000.0,9102,Screamers,1995-09-08,5781885.0,Screamers,6.1,154.0,Horror,0.28909425
0.0,124626,Nico Icon,1995-02-18,0.0,Nico Icon,7.3,3.0,Documentary,0.0
0.0,27526,The Crossing Guard,1995-11-15,0.0,The Crossing Guard,6.1,74.0,Drama,0.0
44000000.0,9623,The Juror,1996-02-02,0.0,The Juror,5.5,91.0,Drama,0.0
0.0,46785,بادکنک سفید,1995-01-01,0.0,The White Balloon,7.5,20.0,Family,0.0
8000000.0,400,Things to Do in Denver When You're Dead,1995-12-01,529766.0,Things to Do in Denver When You're Dead,6.7,87.0,Drama,0.06622075
900000.0,880,Antonia,1995-09-12,0.0,Antonia's Line,7.2,26.0,Drama,0.0
0.0,146599,Once Upon a Time... When We Were Colored,1996-01-26,0.0,Once Upon a Time... When We Were Colored,4.5,2.0,Romance,0.0
0.0,188588,Last Summer in the Hamptons,1995-11-22,0.0,Last Summer in the Hamptons,0.0,0.0,Not available,0.0
0.0,8447,Angels and Insects,1995-09-10,0.0,Angels and Insects,6.3,17.0,Drama,0.0
38000000.0,10534,White Squall,1996-02-02,10300000.0,White Squall,6.3,86.0,Action,0.2710526315789474
16000000.0,17414,Dunston Checks In,1996-01-12,0.0,Dunston Checks In,5.1,59.0,Adventure,0.0
0.0,13997,Black Sheep,1996-02-01,32.0,Black Sheep,6.0,124.0,Comedy,0.0
8169363.0,2086,Nick of Time,1995-11-22,8175346.0,Nick of Time,6.1,190.0,Crime,1.000732370443081
0.0,61548,The Journey of August King,1995-09-14,0.0,The Journey of August King,6.7,3.0,Drama,0.0
47000000.0,9095,Mary Reilly,1996-02-23,12379402.0,Mary Reilly,5.7,77.0,Drama,0.2633915319148936
14000000.0,12158,Vampire in Brooklyn,1995-10-26,19800000.0,Vampire in Brooklyn,4.5,113.0,Comedy,1.4142857142857144
0.0,9283,Beautiful Girls,1996-02-09,0.0,Beautiful Girls,6.6,103.0,Comedy,0.0
50000000.0,9208,Broken Arrow,1996-02-09,150270147.0,Broken Arrow,5.7,459.0,Action,3.00540294
0.0,40154,A Midwinter's Tale,1995-12-01,0.0,A Midwinter's Tale,7.5,6.0,Comedy,0.0
3000000.0,406,La Haine,1995-05-31,0.0,La Haine,7.9,695.0,Drama,0.0
0.0,45549,Shopping,1994-12-06,0.0,Shopping,5.6,13.0,Action,0.0
0.0,63076,Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,Heidi Fleiss: Hollywood Madam,6.8,4.0,Documentary,0.0
0.0,11062,City Hall,1996-02-16,0.0,City Hall,6.0,67.0,Drama,0.0
7000000.0,13685,Bottle Rocket,1996-02-21,560069.0,Bottle Rocket,6.8,285.0,Comedy,0.08000985714285715
0.0,47475,Mr. Wrong,1996-02-16,0.0,Mr. Wrong,3.3,16.0,Comedy,0.0
18000000.0,2045,Unforgettable,1996-02-23,0.0,Unforgettable,5.3,22.0,Drama,0.0
12000000.0,9614,Happy Gilmore,1996-02-16,41205099.0,Happy Gilmore,6.5,767.0,Comedy,3.43375825
24000000.0,688,The Bridges of Madison County,1995-05-28,182016617.0,The Bridges of Madison County,7.3,397.0,Drama,7.584025708333333
0.0,11907,Keiner liebt mich,1994-11-07,0.0,Nobody Loves Me,5.1,5.0,Drama,0.0
0.0,10874,Muppet Treasure Island,1996-02-16,34327391.0,Muppet Treasure Island,6.5,93.0,Action,0.0
0.0,89333,Catwalk,1995-12-08,0.0,Catwalk,7.0,2.0,Documentary,0.0
0.0,96357,Headless Body in Topless Bar,1995-05-20,0.0,Headless Body in Topless Bar,0.0,0.0,Crime,0.0
72000000.0,197,Braveheart,1995-05-24,210000000.0,Braveheart,7.7,3404.0,Action,2.9166666666666665
1300000.0,103,Taxi Driver,1976-02-07,28262574.0,Taxi Driver,8.1,2632.0,Crime,21.74044153846154
7500000.0,33542,紅番區,1995-01-30,32392047.0,Rumble in the Bronx,6.5,245.0,Crime,4.3189396
35000000.0,43566,Before and After,1996-02-23,0.0,Before and After,5.8,37.0,Drama,0.0
0.0,71754,Margaret's Museum,1995-09-13,0.0,Margaret's Museum,7.5,2.0,Drama,0.0
13365000.0,43612,Le Bonheur est dans le pré,1995-01-31,0.0,Happiness Is in the Field,7.0,23.0,Comedy,0.0
0.0,51352,Anne Frank Remembered,1995-06-08,1.0,Anne Frank Remembered,7.3,4.0,Documentary,0.0
0.0,16934,The Young Poisoner's Handbook,1995-01-20,0.0,The Young Poisoner's Handbook,6.9,19.0,Comedy,0.0
0.0,10324,If Lucy Fell,1996-03-08,0.0,If Lucy Fell,5.4,11.0,Comedy,0.0
25000000.0,78406,Steal Big Steal Little,1995-09-29,6278139.0,Steal Big Steal Little,5.1,7.0,Comedy,0.25112556
0.0,55731,Race the Sun,1996-03-22,0.0,Race the Sun,5.2,21.0,Action,0.0
0.0,32119,The Boys of St. Vincent,1992-12-06,0.0,The Boys of St. Vincent,7.0,7.0,Drama,0.0
40000000.0,11066,Boomerang,1992-06-30,70100000.0,Boomerang,5.4,139.0,Comedy,1.7525
0.0,11104,重慶森林,1994-07-14,0.0,Chungking Express,7.9,249.0,Drama,0.0
0.0,37975,L'uomo delle stelle,1995-09-21,0.0,The Star Maker,6.8,29.0,Drama,0.0
7000000.0,2074,Flirting with Disaster,1996-03-22,14702438.0,Flirting with Disaster,6.3,66.0,Comedy,2.100348285714286
17000000.0,27793,The NeverEnding Story III,1994-10-26,0.0,The Neverending Story III: Escape from Fantasia,4.4,105.0,Fantasy,0.0
0.0,44284,صمت القصور,1994-09-30,0.0,The Silences of the Palace,4.3,3.0,Drama,0.0
0.0,290157,Jupiter's Wife,1995-01-01,0.0,Jupiter's Wife,0.0,0.0,Not available,0.0
0.0,110972,Pie in the Sky,1996-02-09,0.0,Pie in the Sky,7.0,2.0,Comedy,0.0
0.0,32622,Angela,1995-01-01,0.0,Angela,5.6,9.0,Comedy,0.0
0.0,73067,Frankie Starlight,1995-11-22,0.0,Frankie Starlight,5.4,4.0,Drama,0.0
50000000.0,11863,Jade,1995-10-13,9851610.0,Jade,5.1,45.0,Action,0.1970322
0.0,55475,Nueba Yol,1995-08-16,0.0,Nueba Yol,5.5,1.0,Comedy,0.0
0.0,124636,Sonic Outlaws,1995-08-01,0.0,Sonic Outlaws,0.0,0.0,Music,0.0
0.0,9101,Down Periscope,1996-03-01,0.0,Down Periscope,5.6,110.0,Comedy,0.0
0.0,123360,From the Journals of Jean Seberg,1995-09-08,0.0,From the Journals of Jean Seberg,6.5,2.0,Documentary,0.0
0.0,5757,Man of the Year,1995-09-15,209935.0,Man of the Year,3.8,2.0,Comedy,0.0
0.0,39428,The Neon Bible,1995-08-23,0.0,The Neon Bible,7.2,5.0,Drama,0.0
0.0,124639,Target,1995-08-01,0.0,Target,0.0,0.0,Not available,0.0
60000000.0,9302,Up Close & Personal,1996-03-01,0.0,Up Close & Personal,5.9,51.0,Drama,0.0
31000000.0,11000,The Birdcage,1996-03-08,185260553.0,The Birdcage,6.7,303.0,Comedy,5.976146870967742
0.0,249882,Gospa,1995-10-12,0.0,Virgin Mary,7.0,2.0,Drama,0.0
0.0,16388,The Brothers McMullen,1995-08-09,0.0,The Brothers McMullen,6.3,23.0,Comedy,0.0
19000000.0,9737,Bad Boys,1995-04-07,141407024.0,Bad Boys,6.5,1729.0,Action,7.442474947368421
0.0,30765,The Amazing Panda Adventure,1995-08-25,0.0,The Amazing Panda Adventure,5.0,31.0,Action,0.0
0.0,10474,The Basketball Diaries,1995-04-21,0.0,The Basketball Diaries,7.2,472.0,Drama,0.0
4000000.0,22279,An Awfully Big Adventure,1995-07-21,851545.0,An Awfully Big Adventure,6.0,11.0,Romance,0.21288625
0.0,30157,Amateur,1994-08-05,0.0,Amateur,6.5,21.0,Crime,0.0
52000000.0,568,Apollo 13,1995-06-30,355237933.0,Apollo 13,7.3,1637.0,Drama,6.831498711538462
28000000.0,11780,Rob Roy,1995-04-13,31596911.0,Rob Roy,6.5,151.0,Adventure,1.1284611071428572
0.0,34996,The Addiction,1995-01-10,0.0,The Addiction,6.4,46.0,Drama,0.0
100000000.0,414,Batman Forever,1995-06-16,336529144.0,Batman Forever,5.2,1529.0,Action,3.36529144
0.0,649,Belle de jour,1967-05-24,0.0,Belle de Jour,7.3,163.0,Drama,0.0
0.0,1873,Beyond Rangoon,1995-05-24,0.0,Beyond Rangoon,6.4,21.0,Drama,0.0
2000000.0,5894,Blue in the Face,1995-09-15,1275000.0,Blue in the Face,6.8,28.0,Comedy,0.6375
11000000.0,1775,Canadian Bacon,1995-06-08,178104.0,Canadian Bacon,5.9,57.0,Action,0.016191272727272728
50000000.0,8839,Casper,1995-05-26,287928194.0,Casper,6.0,1045.0,Fantasy,5.75856388
25000000.0,20649,Clockers,1995-09-15,13071518.0,Clockers,6.8,69.0,Mystery,0.52286072
50000000.0,10329,Congo,1995-06-09,152022101.0,Congo,5.0,214.0,Action,3.04044202
53000000.0,8963,Crimson Tide,1995-05-12,157387195.0,Crimson Tide,7.0,508.0,Action,2.969569716981132
0.0,26564,Crumb,1994-09-10,3174695.0,Crumb,7.6,71.0,Documentary,0.0
7000000.0,8068,Desperado,1995-08-25,25405445.0,Desperado,6.8,898.0,Thriller,3.6293492857142855
27000000.0,8512,Devil in a Blue Dress,1995-09-15,16140822.0,Devil in a Blue Dress,6.3,88.0,Drama,0.5978082222222222
90000000.0,1572,Die Hard: With a Vengeance,1995-05-19,366101666.0,Die Hard: With a Vengeance,6.9,2094.0,Action,4.067796288888889
0.0,13552,The Doom Generation,1995-10-27,0.0,The Doom Generation,5.6,57.0,Action,0.0
0.0,259209,Feast of July,1995-10-12,0.0,Feast of July,0.0,0.0,Drama,0.0
55000000.0,6520,First Knight,1995-07-07,127600435.0,First Knight,5.9,319.0,Action,2.320007909090909
0.0,9073,Free Willy 2 - The Adventure Home,1995-07-19,0.0,Free Willy 2 - The Adventure Home,5.5,130.0,Adventure,0.0
20000000.0,10428,Hackers,1995-09-14,7563728.0,Hackers,6.2,406.0,Action,0.3781864
0.0,17447,Jeffrey,1995-08-18,0.0,Jeffrey,6.5,19.0,Comedy,0.0
25000000.0,9886,Johnny Mnemonic,1995-05-26,19075720.0,Johnny Mnemonic,5.5,380.0,Adventure,0.7630288
90000000.0,9482,Judge Dredd,1995-06-30,113493481.0,Judge Dredd,5.4,643.0,Science Fiction,1.2610386777777778
0.0,19326,Jury Duty,1995-04-12,17014653.0,Jury Duty,4.0,34.0,Comedy,0.0
1500000.0,9344,Kids,1995-07-28,7412216.0,Kids,6.8,280.0,Drama,4.941477333333333
500000.0,9071,Living in Oblivion,1995-01-20,1148752.0,Living in Oblivion,7.2,64.0,Drama,2.297504
0.0,8973,Lord of Illusions,1995-08-25,0.0,Lord of Illusions,5.9,87.0,Mystery,0.0
0.0,15730,Love & Human Remains,1993-05-20,0.0,Love & Human Remains,7.0,7.0,Comedy,0.0
0.0,47608,Mad Love,1995-05-26,15453274.0,Mad Love,5.5,27.0,Drama,0.0
6000000.0,2293,Mallrats,1995-10-20,2122561.0,Mallrats,6.8,400.0,Romance,0.35376016666666665
15000000.0,9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,66000000.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,Action,4.4
0.0,68274,Moonlight and Valentino,1995-09-29,0.0,Moonlight and Valentino,5.6,10.0,Comedy,0.0
2.0,48787,Mute Witness,1995-09-28,1.0,Mute Witness,6.4,36.0,Thriller,0.5
0.0,34574,Nadja,1994-09-13,0.0,Nadja,5.9,12.0,Horror,0.0
22000000.0,1642,The Net,1995-07-28,110627965.0,The Net,5.6,359.0,Crime,5.028543863636363
0.0,11472,Nine Months,1995-07-12,69660733.0,Nine Months,5.5,171.0,Comedy,0.0
150000.0,36196,Party Girl,1995-06-09,472370.0,Party Girl,5.8,14.0,Comedy,3.1491333333333333
8.0,11980,The Prophecy,1995-09-01,16.0,The Prophecy,6.4,139.0,Fantasy,2.0
0.0,58372,Reckless,1995-11-17,0.0,Reckless,10.0,1.0,Fantasy,0.0
0.0,32646,Safe,1995-06-23,0.0,Safe,7.2,62.0,Drama,0.0
50000000.0,10533,The Scarlet Letter,1995-10-13,10382407.0,The Scarlet Letter,5.5,111.0,Drama,0.20764814
0.0,56088,The Show,1995-08-25,0.0,The Show,5.3,2.0,Documentary,0.0
45000000.0,10802,Showgirls,1995-09-22,20350754.0,Showgirls,4.9,261.0,Drama,0.4522389777777778
7000000.0,10149,Smoke,1995-06-09,8349430.0,Smoke,7.2,115.0,Comedy,1.1927757142857143
0.0,18402,Something to Talk About,1995-08-04,50892160.0,Something to Talk About,5.7,60.0,Comedy,0.0
35000000.0,9348,Species,1995-07-07,113374103.0,Species,5.5,457.0,Science Fiction,3.2392600857142857
0.0,139408,The Stars Fell on Henrietta,1995-09-15,0.0,The Stars Fell on Henrietta,6.6,6.0,Drama,0.0
42000000.0,281,Strange Days,1995-10-13,7959291.0,Strange Days,6.8,334.0,Crime,0.18950692857142856
0.0,5967,Les parapluies de Cherbourg,1964-02-19,0.0,The Umbrellas of Cherbourg,7.6,119.0,Drama,0.0
14000000.0,79593,The Tie That Binds,1995-09-08,5780000.0,The Tie That Binds,4.6,9.0,Thriller,0.41285714285714287
0.0,47939,Three Wishes,1995-10-27,7025496.0,Three Wishes,6.1,18.0,Drama,0.0
0.0,36834,Total Eclipse,1995-11-02,339889.0,Total Eclipse,6.5,112.0,Drama,0.0
0.0,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,Comedy,0.0
60000000.0,3512,Under Siege 2: Dark Territory,1995-07-13,104324083.0,Under Siege 2: Dark Territory,5.6,217.0,Action,1.7387347166666667
0.0,52856,Unstrung Heroes,1995-09-15,0.0,Unstrung Heroes,6.4,9.0,Comedy,0.0
0.0,77350,Unzipped,1995-08-11,0.0,Unzipped,6.0,6.0,Documentary,0.0
20000000.0,9560,A Walk in the Clouds,1995-08-11,50012507.0,A Walk in the Clouds,6.5,168.0,Drama,2.50062535
175000000.0,9804,Waterworld,1995-07-28,264218220.0,Waterworld,5.9,1017.0,Adventure,1.5098184
8000000.0,31611,White Man's Burden,1995-12-01,0.0,White Man's Burden,5.1,25.0,Drama,0.0
30000000.0,65796,Wild Bill,1995-12-01,0.0,Wild Bill,5.9,27.0,Action,0.0
0.0,49805,The Browning Version,1994-10-12,0.0,The Browning Version,6.0,11.0,Drama,0.0
0.0,26258,Bushwhacked,1995-08-04,0.0,Bushwhacked,4.9,29.0,Adventure,0.0
2800000.0,50797,Утомлённые солнцем,1994-05-01,2616503.0,Burnt by the Sun,6.7,35.0,Drama,0.9344653571428572
0.0,19155,Before the Rain,1994-06-09,763847.0,Before the Rain,7.7,45.0,Drama,0.0
2500000.0,76,Before Sunrise,1995-01-27,5535405.0,Before Sunrise,7.7,984.0,Drama,2.214162
10000000.0,11017,Billy Madison,1995-02-10,26488734.0,Billy Madison,6.2,464.0,Comedy,2.6488734
0.0,37141,The Babysitter,1995-10-17,0.0,The Babysitter,4.7,27.0,Drama,0.0
21000000.0,9382,Boys on the Side,1995-02-03,23450000.0,Boys on the Side,6.3,48.0,Comedy,1.1166666666666667
0.0,6715,The Cure,1995-04-21,0.0,The Cure,7.2,58.0,Drama,0.0
0.0,18256,Castle Freak,1995-08-04,0.0,Castle Freak,5.8,40.0,Thriller,0.0
0.0,22625,Circle of Friends,1995-03-16,0.0,Circle of Friends,6.5,30.0,Drama,0.0
27000.0,2292,Clerks,1994-09-13,3151130.0,Clerks,7.4,769.0,Comedy,116.70851851851852
25000000.0,1909,Don Juan DeMarco,1994-10-01,22200000.0,Don Juan DeMarco,6.3,184.0,Romance,0.888
55000000.0,8984,Disclosure,1994-12-09,214015089.0,Disclosure,5.9,217.0,Drama,3.891183436363636
0.0,61813,Dream Man,1995-01-01,0.0,Dream Man,2.5,1.0,Thriller,0.0
45000000.0,4954,Drop Zone,1994-12-08,0.0,Drop Zone,5.1,91.0,Action,0.0
0.0,62488,Destiny Turns on the Radio,1995-04-28,0.0,Destiny Turns on the Radio,5.3,9.0,Crime,0.0
0.0,10531,Death and the Maiden,1994-05-04,0.0,Death and the Maiden,7.1,92.0,Drama,0.0
0.0,11929,Dolores Claiborne,1995-03-24,0.0,Dolores Claiborne,7.1,183.0,Crime,0.0
16000000.0,8467,Dumb and Dumber,1994-12-16,247275374.0,Dumb and Dumber,6.5,1894.0,Comedy,15.454710875
0.0,10451,飲食男女,1994-08-03,7294403.0,Eat Drink Man Woman,7.5,76.0,Comedy,0.0
0.0,20156,Exotica,1994-09-24,0.0,Exotica,6.5,64.0,Drama,0.0
0.0,18395,Exit to Eden,1994-10-14,6841570.0,Exit to Eden,4.3,28.0,Thriller,0.0
18000000.0,522,Ed Wood,1994-09-27,5887457.0,Ed Wood,7.3,639.0,Comedy,0.32708094444444447
0.0,397,French Kiss,1995-05-05,0.0,French Kiss,6.2,179.0,Comedy,0.0
0.0,10525,Forget Paris,1995-05-19,0.0,Forget Paris,6.1,38.0,Comedy,0.0
0.0,27985,Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,Far from Home: The Adventures of Yellow Dog,5.6,27.0,Action,0.0
0.0,15789,A Goofy Movie,1995-04-07,35348597.0,A Goofy Movie,6.7,404.0,Romance,0.0
15000000.0,27303,Hideaway,1995-03-03,12201255.0,Hideaway,5.0,24.0,Drama,0.813417
0.0,21183,Fluke,1995-06-02,0.0,Fluke,6.6,48.0,Drama,0.0
0.0,10954,Farinelli,1994-12-07,0.0,Farinelli,5.9,20.0,History,0.0
0.0,47867,Gordy,1995-05-12,3992809.0,Gordy,3.0,4.0,Drama,0.0
0.0,43475,Gumby: The Movie,1995-12-01,0.0,Gumby: The Movie,5.0,2.0,Fantasy,0.0
0.0,72031,The Glass Shield,1994-09-16,0.0,The Glass Shield,5.4,9.0,Drama,0.0
700000.0,14275,Hoop Dreams,1994-09-12,7830611.0,Hoop Dreams,7.7,91.0,Documentary,11.186587142857142
5000000.0,1024,Heavenly Creatures,1994-09-02,3049135.0,Heavenly Creatures,6.9,299.0,Drama,0.609827
10500000.0,17207,Houseguest,1995-01-06,26325256.0,Houseguest,6.0,17.0,Comedy,2.507167238095238
120.0,13701,Immortal Beloved,1994-12-16,0.0,Immortal Beloved,6.9,90.0,Drama,0.0
0.0,14819,Heavyweights,1995-02-17,17689177.0,Heavyweights,6.0,97.0,Comedy,0.0
0.0,32631,The Hunted,1995-02-24,0.0,The Hunted,6.0,25.0,Action,0.0
25000000.0,11777,I.Q.,1994-12-24,0.0,I.Q.,5.9,112.0,Comedy,0.0
60000000.0,628,Interview with the Vampire,1994-11-11,223664608.0,Interview with the Vampire,7.2,1558.0,Horror,3.7277434666666664
14000000.0,87729,Jefferson in Paris,1995-03-31,2474000.0,Jefferson in Paris,5.2,10.0,Drama,0.1767142857142857
0.0,18713,The Jerky Boys,1995-02-03,0.0,The Jerky Boys,4.8,10.0,Comedy,0.0
60000000.0,6280,Junior,1994-11-22,37000000.0,Junior,4.7,381.0,Comedy,0.6166666666666667
0.0,9061,Just Cause,1995-02-17,0.0,Just Cause,6.0,124.0,Action,0.0
0.0,37108,A Kid in King Arthur's Court,1995-08-11,0.0,A Kid in King Arthur's Court,4.3,40.0,Adventure,0.0
40000000.0,6071,Kiss of Death,1995-04-21,0.0,Kiss of Death,5.7,83.0,Action,0.0
11000000.0,11,Star Wars,1977-05-25,775398007.0,Star Wars,8.1,6778.0,Adventure,70.49072790909091
